store_name,phone_numbers,website,cashback_percentage,rating,rating_count,categories,main_category,active,instagram,facebook,notes,city,district,street,house,address_notes,coordinates,operating_hours,total_locations
Pulso Fitness,,,5.0,,0,İstirahət və əyləncə | İdman və aktiv istirahət,İstirahət və əyləncə,True,https://www.instagram.com/pulsofitnessbaku/,,,Bakı,Nərimanov,Ə.Əliyev,180A,Azinko YK,"40.407553,49.876628",mon: 07:00-00:00; tue: 07:00-00:00; wed: 07:00-00:00; thu: 07:00-00:00; fri: 07:00-00:00; sat: 07:00-00:00; sun: 07:00-00:00,1
Avtoset Ehtiyat Hissələri,,,2.0,,0,"Avto, moto və digər nəqliyyat | Maşın üçün hər şey | Maşın hissələri","Avto, moto və digər nəqliyyat",True,https://www.instagram.com/avtoset___official/,,,Bakı,Xətai,General Şıxlinski 34F,34F,204 Sayılı məktəb ilə üzbəüz,"40.377346,49.965007",mon: 09:00-19:00; tue: 09:00-19:00; wed: 09:00-19:00; thu: 09:00-19:00; fri: 09:00-19:30; sat: 09:00-19:00; sun: 09:00-19:00,1
In Yan Sushi Baku,,,6.0,,0,Restoran və kafelər | Suşi barlar | İstirahət və əyləncə | Əyləncə | Suşi barlar,Restoran və kafelər,True,,,,Bakı,Nərimanov,Əlicabbar Orucəliyev,132/134,,"40.400971,49.869427",mon: 11:00-01:00; tue: 11:00-01:00; wed: 11:00-01:00; thu: 11:00-01:00; fri: 11:00-01:00; sat: 11:00-01:00; sun: 11:00-01:00,1
GST,,https://gstshop.az/#/home,3.0,,0,"Ev və məişət | Tikinti | Avto, moto və digər nəqliyyat | Maşın üçün hər şey | Maşın hissələri",Ev və məişət,True,,,,Bakı,Nərimanov,Ələsgər Qayıbov,10H,,"40.417921,49.878492",mon: 09:00-17:00; tue: 09:00-17:00; wed: 09:00-17:00; thu: 09:00-17:00; fri: 09:00-17:00; sat: 09:00-14:00,1
Tusi-Bohm Planetarium,,,5.0,,0,İstirahət və əyləncə | Əyləncə | Virtual reallıq | Oyun və əyləncələr,İstirahət və əyləncə,True,https://www.instagram.com/tusi_bohm_planetarium/,,,Bakı,Səbail,Neftçilər prospekti,78,,"40.370961,49.850043",tue: 17:00-19:00; fri: 17:00-19:00; sat: 14:00-19:00; sun: 14:00-19:00,1
Alps Academy,,,5.0,,0,İş və təhsil | Təhsil və inkişaf,İş və təhsil,True,https://www.instagram.com/alpsacademy.az/,,,Bakı,Yasamal,Cəfər Cabbarlı,44,Caspian Plaza,"40.38558,49.829117",mon: 09:00-20:00; tue: 09:00-20:00; wed: 09:00-20:00; thu: 09:00-20:00; fri: 09:00-20:00; sat: 09:00-20:00; sun: 09:00-20:00,1
Amour,,,1.0,,0,Moda və stil | Qadın geyimləri,Moda və stil,True,,,,Bakı,Sabunçu,Sakit Qocayev,29,Aygün Mall 3-cü mərtəbə,"40.418076,49.965271",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00; sun: 10:00-21:00,1
Təkərli Həyat,,,1.0,,0,Gözəllik və sağlamlıq | Tibb mərkəzləri və klinikalar | Sağlamlıq məhsulları,Gözəllik və sağlamlıq,True,https://www.instagram.com/tekerlihayat?igsh=MWhmanBia2R5dmtmZg==,https://www.facebook.com/share/18QHxS7T7i/?mibextid=wwXIfr,"Əlillər üçün mallar, reabilitasiya avadanlıqları",Bakı,Xətai,Afiyəddin Cəlilov,46D,,"40.37808,49.869308",mon: 10:00-18:00; tue: 10:00-18:00; wed: 10:00-18:00; thu: 10:00-18:00; fri: 10:00-18:00; sat: 10:00-18:00; sun: 10:00-18:00,1
RB Mobi Home,,,1.0,,0,"Qurğu və texnologiyalar | Mobil rabitə və internet | Audio avadanlıq və aksessuarlar | Kompyuter texnikası və proqram təminatı | TV və video | Oyun konsolları | Telefon və Cihazlar | Məişət texnikası | Foto, video kameralar və aksessuarlar | Məişət texnikası və elektronikanın təmiri və nəzarət | Ev və məişət | Məişət texnikası | Ev üçün təhlükəsizlik | Alət",Qurğu və texnologiyalar,True,https://www.instagram.com/mobihome_rb/,,,Bakı,Nəsimi,28 may,14,Bank Respublika ilə üzbəüz,"40.376866,49.848983",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,1
Brendaks,,,1.0,,0,Qurğu və texnologiyalar | Telefon və Cihazlar,Qurğu və texnologiyalar,True,https://www.instagram.com/brendaks_yasamal/,,,Bakı,Yasamal,Nazim Hikmət,26/76,Qəzənfər Musabəyov parkı,"40.37942,49.805352",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,1
Wiwu,,https://www.wiwu.az/,1.0,,0,"Qurğu və texnologiyalar | Mobil rabitə və internet | Audio avadanlıq və aksessuarlar | Kompyuter texnikası və proqram təminatı | TV və video | Oyun konsolları | Telefon və Cihazlar | Məişət texnikası | Foto, video kameralar və aksessuarlar | Məişət texnikası və elektronikanın təmiri və nəzarət | Ev və məişət | Məişət texnikası | Ev üçün təhlükəsizlik | Alət",Qurğu və texnologiyalar,True,,,,Bakı,Nəsimi,28 may,17,Bank Respublika ilə üz-bə-üz,"40.377256,49.850331",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,1
28 Store,,,2.0,,0,Qurğu və texnologiyalar | Telefon və Cihazlar,Qurğu və texnologiyalar,True,https://www.instagram.com/telefon28store/,,,Bakı,Nəsimi,Azadlıq prospekti ,37A,,"40.376774,49.848758",mon: 10:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 10:00-22:00,1
Axis Travel,,,2.0,,0,Gəzinti və səyahətlər | Turlar | Biletlər | Otellər | Viza dəstəyi,Gəzinti və səyahətlər,True,https://www.instagram.com/axistravel.az/,,,Bakı,Xətai,Xocalı prospekti,55,AGA Business Center,"40.383487,49.877817",mon: 10:00-19:00; tue: 10:00-19:00; wed: 10:00-19:00; thu: 10:00-19:00; fri: 10:00-19:00; sat: 10:00-19:00; sun: 11:00-17:00,1
Zoomagazin.az(Old),+994123101771,https://zoomagazin.az/,1.5,4.9,749,Ev və məişət | Ev heyvanları və heyvan ləvazimatları,Ev və məişət,True,https://www.instagram.com/zoomagazin.az/?hl=en,https://www.facebook.com/ZooMagazinaz/,"ZooMagazin.az - heyvanlar üçün malların onlayn mağazası. Purina, Felix, Cat's White, Opti Meal və s. brendlərdən geniş çeşiddə yeməklər, baytarlıq dərmanları, aksesuarlar, heyvanlar üçün geyimlər, akvarium avadanlıqları və bəzək əşyaları var. ZooMagazin.az malları sizin üçün əlverişli məkana və vaxta çatdırır. Bundan əlavə, mağaza malların götürmə əsasında alınmasını təklif edir. Təcrübəli mağaza işçiləri istəklərinizi dinləməkdən və ev heyvanlarınız üçün düzgün məhsulları seçməkdə sizə kömək etməkdən məmnun olacaqlar.

Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.",Bakı,Yasamal,Online mağaza,,,"40.384989,49.847768",mon: 10:00-19:00; tue: 10:00-19:00; wed: 10:00-19:00; thu: 10:00-19:00; fri: 10:00-19:00; sat: 10:00-19:00; sun: 10:00-19:00,3
Vicco,+994124252915,,2.0,,0,Moda və stil | Uşaq ayaqqabıları | Uşaq və analara | Uşaq ayaqqabıları,Uşaq və analara,True,https://www.instagram.com/vicco.az/,,,Bakı,Sabunçu,S.Mehmandarov,9 (75),,"40.426949,49.958294",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00; sun: 10:00-21:00,1
Access Travel,,,2.0,,0,Gəzinti və səyahətlər | Turlar | Biletlər | Otellər | Viza dəstəyi,Gəzinti və səyahətlər,True,https://www.instagram.com/accesstravel.az/,https://www.facebook.com/accesstravel.az,,Bakı,Nərimanov,Zivərbəy Əhmədbəyov,32B,,"40.382204,49.830524",mon: 10:00-19:00; tue: 10:00-19:00; wed: 10:00-19:00; thu: 10:00-19:00; fri: 10:00-19:00; sat: 10:00-17:00,1
Kashalata Cafe,,,10.0,,0,Restoran və kafelər | Restoran və kafelər | Kofe evləri | İstirahət və əyləncə | Əyləncə | Restoran və kafelər | Kofe evləri,Restoran və kafelər,True,https://www.instagram.com/kashalatacafe.az/,https://www.facebook.com/people/Kashalata-Cafe/61564321559195/,,Bakı,Səbail,Üzeyir Hacıbəyli ,57,"Ferrari binası, Port Baku","40.377587,49.860289",mon: 08:00-23:00; tue: 08:00-23:00; wed: 08:00-23:00; thu: 08:00-23:00; fri: 08:00-23:00; sat: 08:00-23:00; sun: 08:00-23:00,1
SoloMed,,https://solomed.az/,7.0,,0,Gözəllik və sağlamlıq | Tibb mərkəzləri və klinikalar | Tibb laboratoriyaları,Gözəllik və sağlamlıq,True,,,,Bakı,Nərimanov,Əşrəf Əliyev,19B,,"40.406434,49.873339",mon: 08:00-18:00; tue: 08:00-18:00; wed: 08:00-18:00; thu: 08:00-18:00; fri: 08:00-18:00; sat: 08:00-18:00; sun: 08:00-18:00,1
Qastronom Market,+994503151708,,1.0,,0,Supermarketlər,Supermarketlər,True,,,Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.,Bakı,Nərimanov,Mayakovski,11/13,Montin,"40.394011,49.875205",mon: 09:00-22:00; tue: 09:00-22:00; wed: 09:00-22:00; thu: 09:00-22:00; fri: 09:00-22:00; sat: 09:00-22:00; sun: 09:00-22:00,1
Gozzi,,,3.0,,0,Supermarketlər | Supermarketlər,Supermarketlər,True,https://www.instagram.com/gozzi.cm/,,,Bakı,Yasamal,Nəriman Nərimanov prospekti,195C,,"40.379353,49.823441",mon: 08:00-23:00; tue: 08:00-23:00; wed: 08:00-23:00; thu: 08:00-23:00; fri: 08:00-23:00; sat: 08:00-23:00; sun: 08:00-23:00,2
